ID,NAME,TYPE,1ST CAT,2ND CAT,OTHER CATS,SMALL DESC,BIG DESC,IMG,PDF,,
1,HHF SERIES,PUMP,DOMESTIC,SUBMERSIBLE,BOREWELL,"These pumps have better life in acidic water. Better surface finish promises better efficiency and consistent performance. These pumps have better life in sandy water. These are widely used in fire fighting application, continuous water supply for farming, irrigation, water supply for industry and housing complex and so on.","Features :
Pump :
Higher head per stage resulting in achieving same head with less no of stages
Stainless steel pump internals
Better surface finish hence better efficiency and consistent performance
Lesser weight and lesser height resulting into ease in installation and transportation
Better life in sandy water application
Better life in acidic water
Rust free water
Aesthetically appealing
Loading on pipes improves
CED coating cast iron components long life & rust free

Motor :
Withstand wide voltage fluctuations from 200 volts to 440 volts with marginal variation in head and discharge
Even at low voltage, pump delivers water
For longer life Teflon Carbon Thrust bearing
Better protection against sand

Application :
Water supply for Industrial, Housing complex, Hospitals, Commercial Complex, Cinema Halls, Multiplex, Community Supplies, Building & Construction application
Continuous water supply for farming application & irrigation projects
Fire fighting application

Specification :
Head : 1 to 447 meters",https://www.kirloskarhcjainsales.com/pro/pump/5df09fc7c106f.jpg,, ,
2,Star/Mini Gold,PUMP,DOMESTIC,MINI,,"These pumps can withstand voltage fluctuations from 180-240 volts. Thermal overload protector, safeguards the motor from burning. These pumps are light weight and easy to handle. These can find wide usage in water supply for domestic use in bungalows, apartments, hotels, hospitals, farm-houses etc., useful in home pressure booster systems, lawn sprinklers, overhead tanks and watering gardens and circulation of water in industries.","Features :
Withstand wide voltage fluctuation from 180- 240 Volts Self priming upto 7.5 meters Thermal Overload protector (TOP) prevents motor burning High quality aluminum extruded motor body with chrome plated shat TEFC capacitor start and run motor with IP-44 protection and class ?B? insulation Double shielded ball bearings no need of external lubrication Light weight pump for easy handling Easy maintenance and spares availability.


Application :
Water supply for domestic use in bungalows, apartments, hotels, hospitals, farm-houses etc. Useful in home pressure booster systems, lawn sprinklers, overhead tanks and watering gardens Circulation of water in industries.


Specification :
Head : 6 to 24 meters
Discharge : 2700 to 450 LPH
Power rating : 0.37 kW (0.5 kW)
Voltage Range : 180- 240 Volts",https://www.kirloskarhcjainsales.com/pro/pump/5dea4bb5557c3.jpg,https://www.kirloskarhcjainsales.com/pro/pump/5dea4bb5557d1.pdf, ,
3,KDI,PUMP,DOMESTIC,MONOBLOCK,,These pumps can +A4:G6withstand voltage fluctuations from 350-440 volts. These have flatter efficiency curve for efficient operation. These are designed to prevent overloading and motor burning and automatic air release during priming.," Features :
Flatter efficiency curve for efficient operation
Designed to prevent overloading and motor burning out
Designed for automatic air release during priming
Dynamically balanced rotating parts ensure minimum vibration during running
Class B7 / F insulation
Replaceable wearing parts
Models with IP55 protection
Delivery casing and impeller are C.E.D coated

Application :
Air conditioning system
Refrigeration
Cooling towers
Fire fighting
Industries for clear water handing at high pressures

Specification :
Head : up to 76 meters
Discharge : up to 35.3 lps
Power rating : 1.5 - 22 kW (2.0 - 30.0 HP)
Voltage range : 350 - 440 V (3Ph)
",https://www.kirloskarhcjainsales.com/pro/pump/5df081c391878.jpg, , ,
4,KDS +/GMC,PUMP,DOMESTIC,MONOBLOCK,,"These pumps can withstand voltage fluctuations from 180-240 volts. These have dynamically balanced rotating parts to ensure minimum vibrations. Cast iron impeller, delivery casing, these pumps are suitable for gardening and small farm irrigation, agri for clear water handling, water supply for agri, used in apartments, buildings and hotels."," Features :
High speed monoblock pump
Flatter efficiency curves for efficient operation
Designed for automatic air release during priming
Dynamically balanced rotating parts ensuring minimum vibration during running
Gland Packed / Mechanical Seal

Application :
Air-conditioning
Refrigeration
Cooling towers
Industries for clear water handling at higher pressures
Fire fighting

Specification :
Head : up to 76 meters
Discharge range : up to 72 lps
Power rating : 0.37 – 22 kW (0.5 – 30 HP)
Voltage range : 300 – 440 V (3 phase)",https://www.kirloskarhcjainsales.com/pro/pump/5df082fcb9683.jpg, , ,
5,KDT+,PUMP,DOMESTIC,MONOBLOCK,,These pumps can withstand voltage fluctuations from 180-240 volts. These have flatter efficiency curve for efficient operation. These are designed to prevent overloading and motor burning and automatic air release during priming.,"Features :
Flatter efficiency curve for efficient operation
Designed to prevent overloading and motor burning
Designed for automatic air release during priming
Efficiency at par with international pumps
Dynamically balanced rotating parts ensuring minimum vibration during running
Class ‘B’/ ‘F’ insulation
Replaceable wearing parts
Models with IP55 protection

Application :
Air conditioning system
Refrigeration
Cooling towers
Fire fighting
Industries for clear water handling at high pressures

Specification :
Capacity up : to 20 lps
Head up : to 110 m
Power rating : 3.7 to 15 kW (5 to 20 HP)
Voltage : 300-440 V (Three Phase)",https://www.kirloskarhcjainsales.com/pro/pump/5df083b29c5a6.jpg, , ,
6,KS+,PUMP,DOMESTIC,MONOBLOCK,,"These pumps can withstand voltage fluctuations from 300-440 volts. These have dynamically balanced rotating parts to ensure minimum vibrations. Cast iron impeller, delivery casing.

"," Features :
Can withstand wide voltage fluctuations from 300-440 Volts
Suction lift upto 7.5 metres
Top flat efficiency curve: minimum variation in efficiency in over entire operating range
Efficiency at par with internationally available pumps - higher by upto 10 points than minimum required by
Indian Standards specifications
Models are with IP-44 protection. Models with IP-55 protection are also available on request
Class B insulation
Dynamically balanced rotating parts to ensure minimum vibrations during running
Replaceable wearing parts and hence longer life
Designed to prevent overloading and motor burning
Designed for automatic air release during priming

Application :
Gardening and Irrigation
Lawn Sprinklers

Specification :
Capacity : 72.5 to 9.3 lps
Head : 5 m to 22 m
Power Rating : 2.2 kW to 7.5 kW (3 HP and 10 HP)",https://www.kirloskarhcjainsales.com/pro/pump/5df084384c624.jpg, , ,
7,SRF,PUMP,DOMESTIC,MONOBLOCK,,"Kirloskar SRF Series is monobloc pump for fire fighting application. It is a 2 Pole monobloc pump, at rated voltage, 50 Hz, Three Phase A.C. power Supply.

"," Features :
Flatter efficiency curve for efficient operation
Mechanical seal fitted for reliable operation
Designed for automatic air release during priming
High speed pump
Replaceable wearing parts
Designed to prevent overloading
Dynamically balanced rotating parts ensuring minimum vibration during running

Application :
Fire Fighting
Boosting Application

Specification :
Capacity up : to 31 lps
Head up : to 52 m
Power rating : 2.2 to 15 kW (3 to 20 HP)
Voltage range : 300 - 440 V (Three Phase)",https://www.kirloskarhcjainsales.com/pro/pump/5df084f7e6b3b.jpg, , ,
8,CPBS,PUMP,DOMESTIC,PRESSURE BOOSTING,,Pressure Boosting Pump,"Features :
Compact, Reliable and Slient
Thermal Overload Protector
Reliable and Durable Components ",https://www.kirloskarhcjainsales.com/pro/pump/5df087b470516.jpg,https://www.kirloskarhcjainsales.com/pro/pump/cpbs.pdf, ,
9,SP,PUMP,DOMESTIC,SELF PRIMING,,"Kirloskar ""SP"" Series Pumps are of non clog and self priming type. They are used in various marine, industrial, civil construction, mobile machinery and public utilities applications."," Features :
Efficiency at par with internationally available pumps.
Quick automatic self-priming action.
Designed for automatic air release during priming.
Non-clogging impeller to handle suspended solids.
Repairs possible without disturbing the pipe connection due to back pull out design (except SP""0"").
Portable, when fitted on trolley/trailer.
Suitable for engine / motor.
No need for foot value.
Long life - Due to replaceable wearing parts.
Dynamically balanced rotating parts ensure minimum vibrations.
Easy maintenance and spares availability.

Application :
Marine : Pumping water from docks, ports, vessels.
Industrial : Petroleum products, chemicals, effluents, sewage, ash-water etc.
Civil construction : Dewatering foundation, trenches and pits.
Mobile Machinery : Cooling water for marine engines and shovels.
Public utilities : Sewage pumping.

Specification :
Head : 6- 34 metres
Capacity : 77.5-0.6 litres per second
Power Rating : For Motor Drive> 0.75 kW to 18.7 kW (1.0 HP to 25.0 HP)
For Engine : Drive> 4.0kW to 19.5kW (6.0HP to 26.0HP)",https://www.kirloskarhcjainsales.com/pro/pump/5df094f631279.jpg, https://www.kirloskarhcjainsales.com/pro/pump/5df094f63128e.pdf, ,
10,SPM,PUMP,DOMESTIC,SELF PRIMING,,"Kirloskar ""SP-M"" Series Pumps are single stage, horizontal, centrifugal, non clog, self priming, monobloc pumps. They are used in various marine, industrial, civil construction, mobile machinery and public utilities applications.

"," Features :
Can withstand wide voltage fluctuations From 180 to 240 Volts for single phase From 300 to 440 Volts for three phase Efficiency at par with internationally available pumps Quick automatic self-priming action Designed for automatic air release during priming Non-clogging impeller to handle suspended solids Models are with ""B"" class of insulation and IP 44 protection Models in three phase A.C. power supply can be supplied with IP-55 protection on request Repairs possible without disturbing the pipe connections due to back pull out design (except SP ""0""M) No need for foot valve Long life - Due to replaceable wearing parts Dynamically balanced rotating parts ensure minimum vibrations Easy maintenance and spares availability.


Application :
Marine : Pumping water from docks, ports, vessels
Industrial : pumping petroleum products, chemicals, effluents, Sewage, ash -water etc.
Civil construction : Dewatering foundation, trenches and pits
Mobile Machinery : Cooling water for marine engines and shovels
Public utilities : Sewage pumping

Specification :
Head : 6- 24 metres
Capacity : 17.4 -1.1 LPS
Power Rating : 0.75 kW to 3.7 kW (1.0 HP to 5.0 HP)",https://www.kirloskarhcjainsales.com/pro/pump/5df0959b9bee1.jpg, , ,
